id,finding_aid_link,title,type,number,group,digital_collection,category,subject,description
spec00874,https://search.lib.uidaho.edu/UID:CP71179313530001451,"United States. Army. Specialized Training Unit 3926, 1943-1945",MG,5400,MG 5400,,university,military;world wars,
spec00875,https://search.lib.uidaho.edu/UID:CP71179312980001451,"University of Idaho. Committee on Student Organizations. Records, 1913-1918",MG,5401,MG 5401,,university,students;clubs and organizations,
spec00876,https://search.lib.uidaho.edu/UID:CP71131879640001451,"Joseph LePage McCarthy and Roy Huffman. Report on the properties and production of a bulk insulation material from sawdust. / typescript, July 23, 1936",MG,5409,MG 5409,,forestry,lumbering,
spec00877,https://search.lib.uidaho.edu/UID:CP71131870510001451,"Joel L. Frykman. Field instructions, southwest Idaho timber management study, inventory phase ... / typescript, prepared May 21, 1951, approved May 25, 1951",MG,5410,MG 5410,,forestry,,
spec00878,https://search.lib.uidaho.edu/UID:CP71131866860001451,"George H. Roberts. Memorandum : to Bruce Bray, University of Idaho, Apr. 20, 1987",MG,5411,MG 5411,,university,,
spec00879,https://search.lib.uidaho.edu/UID:CP71141914760001451,"Reminiscences and writings of J.M. Cornelison and Lessie L. Cornelison : typescript, [1944]",MG,5412,MG 5412,,,manuscripts,
spec00880,https://search.lib.uidaho.edu/UID:CP71179311770001451,"Frank Wilson of Nez Perce County, Idaho. Jonathan L Wilson. Homestead certificates, Feb. 2, 1889-Nov. 16, 1898",MG,5413,MG 5413,,,homesteading;nez perce county,
spec00881,https://search.lib.uidaho.edu/UID:CP71131839720001451,"William Barbee Mitchell; Carolyn Dempsey Mitchell; and Philip C Dumas. A descriptive anatomical study of Lampropeltis getulus holrooki / typescript, June 1960",MG,5414,MG 5414,,,wildlife,
spec00882,https://search.lib.uidaho.edu/UID:CP71141917790001451,"Robert E. West. A comparison of embedding materials and techniques for ultra-thin sectioning of tissue for electron microscopy / typescript, [1961?]",MG,5415,MG 5415,,,manuscripts,
spec00883,https://search.lib.uidaho.edu/UID:CP71119017740001451,"Carl D. Corbit. The community : research paper on Spirit Lake, Idaho / typescript, Jan. 10, 1957",MG,5416,MG 5416,,,idaho;manuscripts;photographs,
spec00884,https://search.lib.uidaho.edu/UID:CP71119018880001451,"Margaret Tunnell. The early history of Kamiah : typescript, July 24, 1968",MG,5417,MG 5417,,,idaho;manuscripts,
spec00885,https://search.lib.uidaho.edu/UID:CP7198367780001451,"J. Rikoon.  A survey of Idaho fence types (with special reference to Owyhee County) / typescript, [1983]",MG,5418,MG 5418,,,agriculture;buildings and structures,
spec00886,https://search.lib.uidaho.edu/UID:CP7198340160001451,"Duncan McDonald. The Nez Perces campaign: Nez Perces war of 1877, as it appeared in the New North West, 1878 : typescript, [before 1970]",MG,5419,MG 5419,,,,
