colltitle,path,shorttitle,cdmtitle,items,webitems,non-cdm webitems,searchable in cdm,cdmid,status,featured,cb-data,digital_scholarship,need_cb,repository_branch,metadata_path,migrated & deployed?,branch_notes,repo_location,last_cb_update,about_page,website,categories,type,alpha,shortdesc,description,mediatype,location,lat,long,datestart,dateend,image,imagelink,imagetitle
Rangeland Center Collection,rangecoll,Rangeland Center Collection,Rangeland Center Collection,68,68,,68,rangecoll,visible,,,,,documents-digital-collections-template/rangecoll,https://www.lib.uidaho.edu/digital/rangecoll/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/rangecoll,2023-12,yes,https://www.lib.uidaho.edu/digital/rangecoll/,UI; UIResearch; Northwest; Rangeland;,Collection,Rangeland Center,A repository of information created by University of Idaho researchers related to topics in rangeland ecology and managemen,"The Rangeland Center collection is a repository of information created by University of Idaho researchers related to topics in rangeland ecology and management. Subject areas include ecology of rangelands, grazing management, invasive plants, fire ecology, and more.",documents,Idaho,43.207053,-115.065308,1969,2013,rangecoll,https://www.lib.uidaho.edu/digital/images/rangelandarchive.jpg,Rangeland
Ray Brown Collection,brown_ray,Ray Brown,Ray Brown Collection,17,17,,,ijc_brown,visible,,,ijc,,ijc-collection-template/brown_ray,https://www.ijc.uidaho.edu/brown_ray/assets,yes,,https://github.com/uidaholib/ijc-collection-template/tree/brown_ray,2023-12,,https://www.ijc.uidaho.edu/brown_ray/,IJC; Jazz;,IJCCollection,IJC-Brown,Images from the Ray Brown Collection.,"A small collection of the photographs and awards of Ray Brown, a renowned jazz double bassist and cellist.",images,"University of Idaho (Library); Moscow, ID;",46.7274,-117.01404,1953,2001,brown_ray,https://objects.lib.uidaho.edu/ijc/brown_ray/ijc_ray_brown_008.jpg,Ray Brown
Richard W. Dodson Collection of Science Fiction,dodson,Richard W. Dodson Collection of Science Fiction,,120,120,120,,,visible,y,,,,documents-digital-collections-template/dodson,https://www.lib.uidaho.edu/digital/dodson/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/dodson,2023-12,yes,https://www.lib.uidaho.edu/digital/dodson/,Science Fiction,Collection,Richard,"Correspondence between Richard W. Dodson, Edward E. (""Doc"") Smith, and other science fiction authors of the 20th century","Correspondence between Richard W. Dodson, Edward E. (""Doc"") Smith, and other science fiction authors of the 20th century",documents; images,,,,1905,1949,dodson,https://www.lib.uidaho.edu/digital/dodson/items/dodson0033.html,"6x9 inch color drawing, captioned on the verso in Smith's hand: ""For 'The Hashish-Eater'/C.A.S."" with a quote from the story underneath."
River Recreation Research Database,rrrd,River Recreation Research Database,River Recreation Research Database,289,289,,,rrrd,visible,,no,cdm,,documents-digital-collections-template/rrrd,https://www.lib.uidaho.edu/digital/rrrd/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/rrrd,2023-12,no,https://www.lib.uidaho.edu/digital/rrrd/,Water; UIResearch,Collection,River Recreation,289 documents pertaining to various Idaho river recreation research projects.,289 documents pertaining to various Idaho river recreation research projects.,documents;records,Idaho,46.921048,-116.903855,1980,2006,rrrd,,
Robert E. Higgins Collection,higgins,Higgins Collection,Robert E. Higgins Collection,42,42,,42,higgins,visible,,,,,base-digital-collections-template/higgins,https://www.lib.uidaho.edu/digital/higgins/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/higgins,2023-12,yes,https://www.lib.uidaho.edu/digital/higgins/,Idaho;,Collection,Higgins,"A collection of photographs by Robert E. Higgins, a professor of plant science at the University of Idaho from 1946 to 1999","A collection of photographs by Robert E. Higgins, a professor of plant science at the University of Idaho from 1946 to 1999. During his lifetime, Professor Higgins&apos; photographs were accepted in over 70 juried international salons, and he had one-artist exhibitions in Idaho, Washington, and California.",images,Idaho,46.72756,-117.01412,1946,1999,higgins,https://www.lib.uidaho.edu/digital/higgins/items/higgins13.html,Pioneer
Rural Women's History Project,rwhp,Rural Women's History Project,,112,112,,,,visible,,,,,oral-history-collections-template/rwhp,https://www.lib.uidaho.edu/digital/rwhp/assets,yes,,https://github.com/uidaholib/oral-history-collections-template/tree/rwhp,2023-12,yes,https://www.lib.uidaho.edu/digital/rwhp/,marriage (social construct);women;rural communities;family life;education;childhood,Collection,Rural Women's History Project,Interviews with rural women in North Idaho concerning the changing roles of women,"Interviews with Idaho women in Latah, Benewah, Clearwater, Nez Perce, and Shoshone counties discussing the history of rural women's roles, the changes over time that have affected their lives, and how they see themselves in light of these changes.",images;audio;documents;compound objects,"St. Maries, Idaho;Lewiston, Idaho;Potlatch, Idaho;Kellogg, Idaho;Orofino, Idaho",,,1975,1980,rwhp,https://objects.lib.uidaho.edu/rwhp/mg68-2-81-myrtle-warren.jpg,Photograph of Myrtle Cressler Warren standing in front of a quilt.
Selway-Bitterroot Wilderness History Project,sbwhp,Selway-Bitterroot Project,Selway-Bitterroot Wilderness Collection,312,312,,,sbw,visible,,no,cdm,true,,,n/a,,,,,https://sbw.lib.uidaho.edu/,Idaho; Water; Forests; Wilderness; Oral History; Selway-Bitterroot Wilderness Region,DMCollection,Selway,"Oral histories, photographs, and other documents from an NEH funded exploration into the human aspects of the Selway-Bitterroot Wilderness","This collection represents the digital objects of the Selway-Bitterroot Wilderness History Project, which is an NEH funded exploration into the human aspects of the Selway-Bitterroot Wilderness.",documents; images; podcasts,"Lolo Pass, MT; Lolo Hot Springs, MT; Elk Summit, ID; Freeman Peak, ID; Moose Meadows, ID; Shissler Peak Lookout, ID; Shearer Guard Station, ID; Trapper Peak, ID; Paradise Campground, ID;",46.157491,-114.553871,1920,2011,sbwhp,https://digital.lib.uidaho.edu/cdm/ref/collection/sbw/id/110,John Day Ranch
The Selway-Bitterroot Wilderness History Project,sbw ,The Selway-Bitterroot Wilderness,,312,312,,,,,,,,,base-digital-collections-template/sbw,https://www.lib.uidaho.edu/digital/sbw/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/sbw,2023-12,yes,https://www.lib.uidaho.edu/digital/sbw/,Idaho; Water; Forests; Wilderness; Oral History; Selway-Bitterroot Wilderness Region,Collection,Selway,"Archive of documents, photographs, and interviews from the Selway-Bitterroot Wilderness","This digital collection of documents, photographs, and interviews accompanies The Selway-Bitterroot Wilderness History Project.",documents; images; podcasts,"Lolo Pass, MT; Lolo Hot Springs, MT; Elk Summit, ID; Freeman Peak, ID; Moose Meadows, ID; Shissler Peak Lookout, ID; Shearer Guard Station, ID; Trapper Peak, ID; Paradise Campground, ID;",46.157491,-114.553871,1896,2013,,https://objects.lib.uidaho.edu/sbw/sbw274.jpg,Selway 1 mile above Dog Creek 
Senator William Edgar Borah Scrapbooks,borah,Borah Scrapbooks,,17,17,,,,visible,,no,cdm,,base-digital-collections-template/borah,https://www.lib.uidaho.edu/digital/borah/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/borah,2023-12,yes,https://www.lib.uidaho.edu/digital/borah/,Idaho; Politics;,Collection,Senator William,"A collection of scrapbooks containing memorabilia regarding Senator William Edgar Borah. The scrapbooks consist of newspaper clippings, magazine articles, letters, photographs, and recordings Borah's speeches.","William Edgar Borah was a Republican Senator from Idaho. He first became a candidate for the U.S. Senate in 1903, but was defeated by Weldon Heyburn. He was elected in 1907 and served in that body until his death in 1940. In 1924 he became chairman of the Foreign Relations Committee. He also served on the Judiciary Committee. He was often mentioned as a presidential candidate, but not until 1936 did he actually enter any primaries; his defeat at the convention by Alf Landon was not unexpected. This collection consists of scrapbooks containing newspaper clippings, magazine articles, letters, photographs, and recordings of four of his speeches.",documents; images; newspaper;,Idaho,,,1904,1947,borah,,
Shitamae Family Letters,shitamae,Shitamae Family Letters,,132,132,132,,,visible,,,,,documents-digital-collections-template/shitamae,https://www.lib.uidaho.edu/digital/shitamae/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/shitamae,2023-12,yes,https://www.lib.uidaho.edu/digital/shitamae/,Idaho; War;,Collection,Shitamae,Letters from Minidoka Incarceration Camp during World War II,Letters from Minidoka Incarceration Camp during World War II,documents; images,Idaho,42.67890476495952,-114.25007455136189,1942,1944,shitamae,https://www.lib.uidaho.edu/digital/objects/shitamae/mg387_03_129.jpg,Letter to Shihei (George) Shitamae
Stanton Gilbert Fisher Collection,fisher,Fisher Collection,Stanton Gilbert Fisher Collection,50,50,,50,fisher,visible,,,,,base-digital-collections-template/fisher,https://www.lib.uidaho.edu/digital/fisher/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/fisher,2023-12,yes,https://www.lib.uidaho.edu/digital/fisher/,Northwest; Native Americans; War;,AltCollection,Fisher,"Writings and memorabilia of Stanton Gilbert Fisher, pioneer and Nez Perce War scout, 1840-1915","Writings and memorabilia of Stanton Gilbert Fisher, pioneer and Nez Perce War scout, 1840-1915. Most of the documents are Nez Perce War collectibles, such as maps, photographs and accounts of the war and its participants. The rest of the papers are personal materials related to Fisher, including autobiographical materials as well as the correspondence and census records of several of his family members.",documents; images; newspaper,"Central Idaho; Beaverhead National Forest, MT; White Bird Battlefield, ID;",45.742401,-116.310539,1840,1915,fisher,https://www.lib.uidaho.edu/digital/fisher/items/fisher290.html,Colonel J. W. Redington
Stonebraker Photograph Collection,stonebraker,Stonebraker Collection,Stonebraker Photograph Collection,528,528,,528,stonebraker,visible,,,,,base-digital-collections-template/stonebraker,https://www.lib.uidaho.edu/digital/stonebraker/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/stonebraker,2023-12,yes,https://www.lib.uidaho.edu/digital/stonebraker/,Mining; wilderness; Idaho;,Collection,Stonebraker,"Ranching, Hunting, and Pack Train Operations in North Central Idaho, 1900-1931","A digital collection comprised of 540 historical photographs taken by William Allen Stonebraker at the turn of the century and into the 1920s and 1930s documenting the Salmon River, the Frank Church-River of No Return, the Chamberlain Basin, and the Thunder Mountain Gold Rush.",images,"Salmon River; Frank Church-River of No Return Wilderness (Idaho); Chamberlain Basin, ID;",44.948193,-115.135872,1900,1931,stonebraker,https://www.lib.uidaho.edu/digital/stonebraker/items/stonebraker155.html,Men in Submerged Boat
Taylor Ranch Log Book Collection,taylorranch,Taylor Ranch Collection,Taylor Ranch Log Book Collection,9,9,,,taylor,visible,,,,,,https://www.lib.uidaho.edu/digital/taylor/,,,https://github.com/uidaholib/taylor_source,,yes,https://www.lib.uidaho.edu/digital/taylor/,Idaho; Forests; Wilderness,AltCollection,Taylor,"Log books detailing daily events at the Taylor Wilderness Research Station, 1997-2010","The nine log books in this collection detail daily events from 1997 to 2010 recounted by those living and working at the Taylor Wilderness Research Station. In addition to describing the routine research and maintenance task, the logs also provide wildlife sightings and firsthand accounts of harrowing events, such as the dramatic forest fire and evacuation of the year 2000.",documents,"Taylor Ranch, ID; Frank Church-River of No Return Wilderness (Idaho)",45.103422,-114.851106,1997,2010,taylorranch,https://www.lib.uidaho.edu/digital/taylor/items/taylor_ranch_05.html,Taylor Log Book
Terry Abraham Web Archive,,Terry Abraham,,38,38,,,,visible,,,,,,,n/a,,,,,https://www.lib.uidaho.edu/special-collections/t-abraham/,Idaho; UI; Research,AltCollection,Terry Abraham,"Writing, scholarship, and resources of Terry Abraham","The Terry Abraham Web Archive preserves the writing, scholarship, and resources of Terry Abraham that were originally published on University of Idaho's early websites.",,"University of Idaho; Moscow, ID;",46.728014,-117.011009,1990,2005,t-abraham,,FOL: A History of the Friends of the Library web archive
The Argonaut Archive,argonaut,Argonaut,Argonaut,6526,"5,974",,,argonaut,visible,,,,,campus-collections-template/argonaut,https://www.lib.uidaho.edu/digital/argonaut/assets,yes,extremely customized,https://github.com/uidaholib/campus-collections-template/tree/argonaut,2023-12,yes,https://www.lib.uidaho.edu/digital/argonaut/,Idaho; Campus; UI; Sports;,CampusCollection,Argonaut,"University of Idaho&apos;s Newspaper, 1898+",The Argonaut is the newspaper of the University of Idaho. We hold historical copies from 1898+,documents; newspaper;,"University of Idaho; Moscow, ID;",46.728347,-117.007264,1898,2010,argonaut,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1945-09-19.html,front page of an arg newspaper
The Big Burn Collection,bigburn,Big Burn,Big Burn Collection,65,65,,65,bigburn,visible,,,,,base-digital-collections-template/bigburn,https://www.lib.uidaho.edu/digital/bigburn/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/bigburn,2023-12,yes,https://www.lib.uidaho.edu/digital/bigburn/,Idaho; Mining; Fire; Northwest; Forests;,Exhibit,Big,An exhibition of materials related to the 'Big Burn' fires of 1910,"The Big Burn Collection is an online exhibit of materials related to the &apos;Big Burn&apos; fires of 1910 that devastated much of Northern Idaho and Northwest Montana. The collection includes photographs, documents, first-person accounts, and oral histories pertaining to the fires and the local and national responses to them.",images; documents,"Wallace, ID; Lolo Pass, MT; Selway-Bitterroot Wilderness Region",47.487853,-115.872459,1910,1910,bigburn,https://objects.lib.uidaho.edu/bigburn/bigburn15.jpg,"Forest Fire - Wallace Idaho Aug 20, 1910 Men burned in the fire"
The Blot Magazine Archive,blot,Blot Magazine,,85,85,85,,,visible,,,,,documents-digital-collections-template/blot,https://www.lib.uidaho.edu/digital/blot/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/blot,2023-12,yes,https://www.lib.uidaho.edu/digital/blot/,Campus;UI;Literature,CampusCollection,Blot,University of Idaho's Student Run Magazine,University of Idaho's Student Run Magazine,documents,"University of Idaho; Moscow, ID;",46.728347,-117.007264,1946,2021,blot,https://www.lib.uidaho.edu/digital/blot/items/blot_1949-september.html,"Blot Magazine Welcome Issue Cover, September 1949 "
The Idaho Forester Collection,forester,Forester Collection,The Idaho Forester Collection,77,77,,77,forester,visible,,,,,campus-collections-template/forester,https://www.lib.uidaho.edu/digital/forester/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/forester,2023-12,yes,https://www.lib.uidaho.edu/digital/forester/,Forests; Idaho; Northwest; UI;,Collection,Forester,"The University of Idaho Forestry Department&apos;s Annual, 1917 - 1997","The Idaho Forester was published annually from 1917 - 1997 by the University of Idaho&apos;s forestry program. The journal combines research articles, UI program activities information, and analysis of the forest products industry, formerly the dominant industry in Northern Idaho. The collection was developed with the support of a Project Ceres Grant from the Center for Research Libraries and the United States Agricultural Information Network.",documents,"Moscow, ID",46.729399,-117.012629,1917,1997,forester,https://objects.lib.uidaho.edu/forester/forester_banner.jpeg,The Idaho Forester - 1935 (Vol. 17)
The Map Room,maps,Map Room,,,,,,,visible,,no,cb,,,,n/a,,,,,https://www.lib.uidaho.edu/digital/maps/,Forests; Fire; Wilderness; Mining; UI; Idaho; Sports; Maps,Application,Map,An interactive Google map application that allows users to browse over 8000 images on a digital map,The Map Room is an interactive Google map application that allows users to browse over 8000 images on a digital map. Use the drop down menus and search box at the top of each map to further refine your browsing.,maps,United States,46.7274,-117.01388,1860,2014,maps,https://www.lib.uidaho.edu/digital/maps/,The Map Room Website
The Theodore Roosevelt Collection,troosevelt,Roosevelt Visit Exhibit,,43,43,,,,visible,,,,,base-digital-collections-template/troosevelt,https://www.lib.uidaho.edu/digital/troosevelt/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/troosevelt,2023-12,yes,https://www.lib.uidaho.edu/digital/troosevelt/,UI; Campus; Politics,Exhibit,Theodore,Photos from President&apos;s Roosevelt&apos;s historic visit to the University of Idaho campus in 1911,A collection of photographs from the University of Idaho Historical Photographs Collection commemorating the 100th anniversary of President&apos;s Roosevelt&apos;s historic visit to the University of Idaho campus in 1911.,images,"University of Idaho (Admin Lawn); Moscow, ID;",46.726209,-117.010521,1911,1911,troosevelt,https://www.lib.uidaho.edu/digital/uihistorical/items/spec_uihp401.html,Roosevelt on platform in front of University of Idaho Administration Building leaning toward Idaho Governor James Hawley
The Trees Grew Tall Photograph Collection,treesgrewtall,Trees Grew Tall,John Miller 'Trees Grew Tall',242,242,,242,treesgrewtall,visible,,,,,base-digital-collections-template/treesgrewtall,https://www.lib.uidaho.edu/digital/treesgrewtall/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/treesgrewtall,2023-12,,https://www.lib.uidaho.edu/digital/treesgrewtall/,Idaho; Forests,Collection,Trees,"Photographs used in the making of the book The Trees Grew Tall, 1898 - 1943","A digital collection comprised of 242 photographs of life in Bovill, Idaho and surrounding areas from 1898 - 1943. These photographs were taken or collected by Bovill native and author John B. Miller.",images,"Bovill, Idaho",46.85842341,-116.3939099,1898,1943,treesgrewtall,https://objects.lib.uidaho.edu/treesgrewtall/trees200.jpg,"River near Bovill, Idaho"
Theses and Dissertation Collection,etd,ETDs,Theses and Dissertations Database (ETDs),1855,"1,855",,"1,855",etd,visible,,,cb,,documents-digital-collections-template/etd,https://www.lib.uidaho.edu/digital/etd/assets,yes,cb not standard,https://github.com/uidaholib/documents-digital-collections-template/tree/etd,2023-12,,https://www.lib.uidaho.edu/digital/etd/,UI; UIResearch;,Application,Theses,Open Access Repository of University of Idaho Graduate ETD,"An open access repository of theses and dissertations (ETD) from University of Idaho graduate students. The collection includes complete electronic theses and dissertations submitted since approximately 2014, as well as digitized copies of earlier documents going back to 1910.",documents,"University of Idaho (Library); Moscow, ID;",46.73524,-117.01396,1909,2011,etds,https://www.lib.uidaho.edu/digital/campus/items/campus00806.html,Students studying at desks in the library
Transitions Journal,transitions,Transitions,Transitions Journal Digital Collection,80,80,,80,transitions,visible,,,,,documents-digital-collections-template/transitions,https://www.lib.uidaho.edu/digital/transitions/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/transitions,2024-02,yes,https://www.lib.uidaho.edu/digital/transitions/,Environmental;Water;Forests;Wilderness;Mining,Collection,Transitions,"Curated articles on environmental, conservation, and ecological issues in the Inland and Pacific Northwest Region, 1988 - 2000","The Transitions Journal Digital Collection is a digital repository for Transitions, a conservation-focused publication edited and published by John Osborn from 1988 to 2000.",documents,Pacific Northwest,47.657495,-117.416277,1988,2000,transitions,https://www.lib.uidaho.edu/digital/transitions/items/transitions45.html,Smokey bear on transitions journal cover
Turning of the Wheel Collection - Humanities Colloquium 2011-2012,turning,Turning of the Wheel Collection,Turning of the Wheel Collection - Humanities Colloquium 2011-2012,491,491,,,turning,visible,,no,ds,,,,n/a,,,,,https://www.lib.uidaho.edu/digital/turning/,UI; Campus; UIResearch,AltCollection,Turning,"A Digital Collection of Events from the Humanities Colloquium Series, Turning of the Wheel, 2011-2012","A Digital Collection of Events from the Humanities Colloquium Series, Turning of the Wheel, University of Idaho | Moscow, Idaho | 2011-2012",documents; images; video;,"University of Idaho (Commons); Moscow, ID;",46.727391,-117.013046,2011,2012,turning,https://digital.lib.uidaho.edu/cdm/ref/collection/turning/id/58,Ad for the collection
Turning of the Wheel,turningwheel,Turning of the Wheel,,490,490,,,,,,,,,base-digital-collections-template/turningwheel,https://www.lib.uidaho.edu/digital/turningwheel/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/turningwheel,2023-12,yes,https://www.lib.uidaho.edu/digital/turningwheel/,UI; Campus; UIResearch,Collection,Turning,"A Digital Collection of Events from the Humanities Colloquium Series, Turning of the Wheel, 2011-2012","A Digital Collection of Events from the Humanities Colloquium Series, Turning of the Wheel, University of Idaho | Moscow, Idaho | 2011-2012",documents; images; video;,"University of Idaho (Commons); Moscow, ID;",46.727391,-117.013046,2011,2012,,,
UI Campus Photograph Collection,campus,Campus Collection,University of Idaho Campus Photographs Collection (PG1),3119,"3,119",,,pg1,visible,,no,cdm,true,campus-collections-template/campus,https://www.lib.uidaho.edu/digital/campus/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/campus,2023-12,yes,https://www.lib.uidaho.edu/digital/campus/,Campus; UI;,CampusCollection,Campus,3000 historical photographs of the UI Campus from 1889 to the present,The University of Idaho Campus Photograph Collection contains over 3000 historical photographs of the UI Campus from 1889 to the present.,images,"University of Idaho; Moscow, ID;",46.728014,-117.011009,1889,2014,campus,https://www.lib.uidaho.edu/digital/campus/items/campus02245.html,"Administration Building, University of Idaho from southeast. [52-4]"
UIEF Research Exchange,uief,UIEF ,,287,287,,,,visible,,,,,documents-digital-collections-template/uief,https://www.lib.uidaho.edu/digital/uief/assets,yes,"customized, external workflow for adding new items",https://github.com/uidaholib/documents-digital-collections-template/tree/uief,2024-02,yes,https://www.lib.uidaho.edu/digital/uief/,Campus; UI; UIResearch; Forests;,AltCollection,UIEF,A Growing Collection of Research from the University of Idaho Experimental Forest,The University of Idaho Experimental Forest (UIEF) is Idaho's primary working research and teaching forest. The Research Exchange is a living database that provides access to UIEF research and related content to help inspire scientific inquiry and inform forestry and natural resource management.,documents,UIEF,46.836471,-116.802608,1928,2022,uief,,U of I Experimental Forest
University of Idaho Commencement Programs,commencement,University of Idaho Commencement Programs,University of Idaho Commencement Programs,169,169,,169,commencement,visible,,,,,campus-collections-template/commencement,https://www.lib.uidaho.edu/digital/commencement/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/commencement,2023-12,yes,https://www.lib.uidaho.edu/digital/commencement/,Campus; UI;,CampusCollection,University of Idaho Commencement,"Commencement programs and related materials from the University of Idaho, 1896-2019",A digital collection comprised of 169 University of Idaho commencement programs and other pamphlets spanning the years 1896-2019.,documents,"University of Idaho; Moscow, ID;",46.728014,-117.011009,1896,2019,commencement,http://objects.lib.uidaho.edu/commencement/commencement1.jpg,Black and white image of students during graduation.
University of Idaho General Catalogs,coursecatalogs,University of Idaho General Catalogs,,57,57,57,,,visible,,,,,campus-collections-template/coursecatalogs,https://www.lib.uidaho.edu/digital/coursecatalogs/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/coursecatalogs,2023-12,yes,https://www.lib.uidaho.edu/digital/coursecatalogs/,Campus; UI,CampusCollection,University of Idaho General,Historic Campus and Curriculum Information,Historic Campus and Curriculum Information,documents,"University of Idaho; Moscow, ID;",46.725714,-117.011277,1913,2014,coursecatalogs,,artwork cover for a U of I course catalog
University of Idaho Historical Photos,uihistorical,UI Historical Photos,University of Idaho Historical Photograph Collection,346,346,,,spec_uihp,visible,,,,,campus-collections-template/uihistorical,https://www.lib.uidaho.edu/digital/uihistorical/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/uihistorical,2023-12,yes,https://www.lib.uidaho.edu/digital/uihistorical/,UI; Campus;,CampusCollection,University of Idaho Historical,Photographs documenting campus life at the Univesity of Idaho from 1890 to 1980,"A variety of photographs from several photographic collections held by Special Collections &amp; Archives that depict scenes from the University of Idaho&apos;s past. Includes portraits of past professors and alumni, as well as photos of buildings and events.",images,"University of Idaho; Moscow, ID;",46.725714,-117.011277,1863,1975,uihistorical,https://www.lib.uidaho.edu/digital/uihistorical/items/spec_uihp11.html,Administration Building 1900
University of Idaho Law Faculty Repository,lawir,UI Law Faculty Repository,University of Idaho Law Faculty Repository,,,,,lawir,noshow,,no,cdm,true,,,n/a,,,,,https://digital.lib.uidaho.edu/digital/collection/lawir,UIResearch;,Collection,University of Idaho Law,"Research and scholarship produced by faculty members at the University of Idaho Law School, 2003 - 2013","Research and scholarship produced by faculty members at the University of Idaho Law School, 2003 - 2013",documents,"University of Idaho; Moscow, ID;",46.728347,-117.007264,2003,,lawir,,
University of Idaho Student Organizations Collection (PG2),pg2,UI Student Organizations Collection,University of Idaho Student Organizations Collection (PG2),2634,"2,634",,"2,634",pg2,visible,,,,,campus-collections-template/pg2,https://www.lib.uidaho.edu/digital/pg2/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/pg2,2024-02,yes,https://www.lib.uidaho.edu/digital/pg2/,UI; Campus;,CampusCollection,University of Idaho Student,"Historic images documenting activities of University of Idaho Student Organizations, 1898-1992","The University of Idaho Student Organizations Collection is a collection of digitized historical images focused on student organizations and events at the University of Idaho's main campus in Moscow, ID. This digital collection is mostly taken from the library's Special Collections & Archive's UI Student Organizations Collection, which is referred to as Photograph Group 2 (PG2). The collection comprises thousands of images spanning from 1893 to the early 1990s.",documents; images,"University of Idaho; Moscow, ID;",46.728347,-117.007264,1898,,pg2,,
University of Idaho Women's Center Records,womenscenter,U of I Women's Center Records,U of I Women's Center Records,499,499,,499,womenscenter,visible,,,,,campus-collections-template/womenscenter,https://www.lib.uidaho.edu/digital/womenscenter/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/womenscenter,2024-02,yes,https://www.lib.uidaho.edu/digital/womenscenter/,Campus; UI;,CampusCollection,Women's Center,"Newsletters and photographs from the University of Idaho Women's Center Records, 1970-2013.","Newsletters and photographs from the University of Idaho Women's Center Records, 1970-2013.",images; documents; video,"University of Idaho; Moscow, ID;",46.728014,-117.011009,1912,2008,womenscenter,https://objects.lib.uidaho.edu/womenscenter/ug71_b11_f379-006.jpg,Four women sitting on a couch in the Women's Center 
University of Idaho: Then and Now,campushistory,University of Idaho: Then and Now,,27,27,27,,,visible,,no,ds,,,,,,https://github.com/uidaholib/campus-photos,,,https://www.lib.uidaho.edu/digital/campushistory/,Idaho; UI; Campus;,CampusCollection,University of Idaho: Then and Now,A curated exhibit of historic buildings over time on the University of Idaho campus,A curated exhibit of historic buildings over time on the University of Idaho campus,images,"University of Idaho; Moscow, ID",46.728077,-117.020026,1899,2019,campushistory,,"Administration Building, University of Idaho (1892-1906)"
Vandal Poem of the Day,,Vandal Poem of the Day,,,,,,,visible,,no,ds,,,,n/a,,,,,https://poetry.lib.uidaho.edu/,Poetry; UIResearch;,CDIL,,A public poetry project that brings relevant contemporary poetry to the University of Idaho and the broader Idaho community.,,poetry,"University of Idaho; Moscow, ID;",46.728347,-117.007264,2015,,vpod,,
Vandal Video Collection,vandalvideo,Vandal Videos,Vandal Video Collection,167,167,,167,vandalvideo,visible,,,,,campus-collections-template/vandalvideo,https://www.lib.uidaho.edu/digital/vandalvideo/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/vandalvideo,2023-12,yes,https://www.lib.uidaho.edu/digital/vandalvideo/,Campus; UI; Sports;,Collection,Vandal,"Historic videos of University of Idaho Basketball and Football Games, 1925 - 1997",The Vandal Video Collection is a collection of 160+ digitized 16mm Film reels that were scouting videos for both football and basketball games..,video,"University of Idaho (Maclean Field, Neale Stadium, Kibbie Dome); Moscow, ID;",46.727212,-117.01655,1925,1993,vandalvideo,https://www.lib.uidaho.edu/digital/vandalvideo/items/vandalvideo2.html,"UI vs. USC, 1925"
VIVO,vivo,VIVO,,,,,,,noshow,,no,other,,,,n/a,,,,,https://vivo.nkn.uidaho.edu/vivo/,UI; UIResearch;,Application,VIVO,A research-focused discovery tool that enables collaboration,"VIVO is a research-focused discovery tool that enables collaboration among scholars across all disciplines. The system allows users to browse or search information on University people, departments, courses, grants, and publications.",,"University of Idaho (Library); Moscow, ID;",46.72724,-117.01396,2008,2017,vivo,https://www.lib.uidaho.edu/digital/vivoatui/,Vivo Visualization
Voices of Gay Rodeo,,Voices of Gay Rodeo,,,,,,,visible,,no,ds,,,,n/a,,https://github.com/thecdil/gayrodeo_dev,,,https://www.voicesofgayrodeo.com,UIResearch; Rodeo; Oral History;,CDIL,,Oral Histories from the International Gay Rodeo Association,"Partnering with the International Gay Rodeo Association to collect and preserve people's experiences as LGBTQ+ westerners, this project seeks to protect endangered histories and relocate LGBTQ+ people back into the American West as people continue to build resilient communities.",documents,Texas; Colorado; New Mexico; California;,,,2016,2018,gayrodeo,,
Web Archive Collections,webarchive,Web Archives,,21000,"21,000",,,webarchive,visible,,no,cdm,true,,,,,,,,https://www.lib.uidaho.edu/digital/webarchive/,UI; Campus;,Collection,Web Archive,Collection of UI newsletters and webpages harvested to preserve unique born-digital content.,,documents,University of Idaho,46.728347,-117.007264,1997,2017,webarchive,https://www.lib.uidaho.edu/digital/images/small/webarchive.jpg,
