accession_number,title,extent
UA 2019-26,The Gem of the Mountains 1929,1.00 Volumes
MA 2007-26,The White House Conference on Libraries and Reference Services Records,1.50 Cubic_feet
UA 2011-10,Theodore Roosevelt Shovel,3.00 Cubic_feet
MA 2003-29,Thomas B. Keith Papers,5.00 Cubic_feet
MA 1996-30,Thomas R. Walenta Papers,7.00 Cubic_feet
MA 1985-24,Tom Court Felton Reform Records,0.50 Cubic_feet
MA 2017-22,Tom Karsky Papers,5.00 Cubic_feet
MA 2018-65,Tom Karsky Papers,1.00 Cubic_feet
MA 2014-21,Tom Kramer Collection,1.00 Cubic_feet
UA 1980-043,Traffic Committee Records,7.00 Volumes
MA 2020-13,Travis Simpson postcard collection,1.00 Folder
MA 2011-12,Travis Simpson Recording,1.00 DVD
UA 2014-10,TRIO UBMS Photographs,5.00 Cubic_feet
MA 2020-10,Trip to the Mines Idaho County book,1.00 Folder
MA 2011-42,Tuchscherer Family Photographs,1.00 Folder
UA 2020-03,U of I Extension Livestock Record book,1.00 Folder
MA 2018-23,U.S. Bureau of Entomology and Plant Quarantine Field Station Reports,1.00 Linear Feet
UA 2007-11,U.S. Department of Agriculture Forest Service Aerial Maps,9.00 Cubic_feet
MA 2011-20,U.S. Engineer Office Records,1.00 Folder
MA 1995-49,U.S. Forest Service Aerial Photographs,0.50 Cubic_feet
MA 1996-02,U.S. Forest Service Aerial Photographs,0.50 Cubic_feet
MA 1997-01,U.S. Forest Service Aerial Photographs,0.50 Cubic_feet
UA 2015-16,UI 125th Banner,1.00 Folder
UA 2007-26,UI Administrative Affairs Records,4.00 Cubic_feet
UA 2012-08,UI Alumni Association Records,0.50 Cubic_feet
UA 2014-19,UI Athletic Audio-visual Recordings,21.00 Cubic_feet
UA 2015-15,UI Campus Club Dormitory Photographs,1.00 Folder
UA 2012-10,UI Campus Photographs,0.25 Cubic_feet
UA 2017-20,UI Department of Architecture Records,1.00 Folder
UA 2012-16,UI Department of Foreign Languages,5.00 Cubic_feet
UA 2014-15,UI Department of Psychology and Communication Studies Records,1.00 Cubic_feet
UA 2018-12,UI Department of Soil and Water Systems Publications,1.00 Cubic_feet
UA 2009-15,UI Engineering Records,1.00 Cubic_feet
UA 2004-10,UI Environmental Science Program Records,1.50 Cubic_feet
UA 2019-06,UI Facilities Bronze plaque,0.50 Cubic_feet
UA 2015-01,UI Facilities Bronze plaques,0.50 Cubic_feet
UA 2011-32,UI Facilities Management,5.00 Cubic_feet
MA 2011-41,UI Facilities Management Records,Oversized
UA 2012-06,UI Facilities Management Records,0.25 Cubic_feet
UA 2013-10,"UI Facilities, Utilities and Engineering Records",2.00 Cubic_feet
MA 2012-06,UI Football Team Photograph,0.25 Cubic_feet
UA 2015-36,UI Foundation Office Foundation records created by Bob Steele,0.25 Cubic_feet
UA 2009-07,UI Graduate Council Photographs,1.00 Folder
MA 2012-28,UI Heating Plant Painting,2.00 Linear feet
UA 2004-06,UI Law Library Records,2.00 Cubic_feet
UA 2016-11,UI Management Information Services Records,2.00 Cubic_feet
UA 2018-09,UI Martin Institute Borah Symposium Records,3.00 Cubic_feet
UA 2017-40,UI memorabilia and textiles,1.00 Linear feet
UA 2008-19,UI Postage Stamp Perforator,1.00 Folder
UA 2014-09,UI President's Office Records,6.00 Volumes
UA 2016-16,UI Programs and Calendars,0.25 Cubic_feet
UA 2008-09,UI Records Center Records,3.00 Cubic_feet
MA 2012-20,UI Retirees Association Records,0.25 Cubic_feet
UA 2014-08,UI Retirement Association,0.50 Cubic_feet
UA 2004-01,University Communication and Marketing Records,2.00 Cubic_feet
UA 2005-001,University Communications and Marketing Records,11.00 Cubic_feet
UA 2009-02,University Communications and Marketing Records,1.00 Cubic_feet
UA 2011-09,University Communications and Marketing Records,19.00 Cubic_feet
UA 2014-06,University Communications and Marketing Records,1.00 Folder
UA 2019-09,University Communications and Marketing records of digital files,1.00 Cubic_feet
UA 1992-27,University Communications photographs,0.50 Cubic_feet
UA 1996-11,University Communications Photographs,0.50 Cubic_feet
UA 1999-10,University Communications Photographs,1.00 Cubic_feet
UA 1999-16,University Communications Photographs,0.50 Cubic_feet
UA 2000-15,University Communications Photographs,3.50 Cubic_feet
UA 1994-07,University Communications Records,4.00 Cubic_feet
UA 1994-09,University Communications Records,1.00 Cubic_feet
UA 1994-19,University Communications Records,0.50 Cubic_feet
UA 1995-03,University Communications Records,4.50 Cubic_feet
UA 1995-16,University Communications Records,0.50 Cubic_feet
UA 1997-11,University Communications Records,1.00 Cubic_feet
UA 1998-08,University Communications Records,0.75 Cubic_feet
UA 1997-14,University Counsel Records,6.00 Cubic_feet
UA 1980-044,University Curriculum Committee Records,9.00 Volumes
UA 1984-02,University Editor Records,0.50 Cubic_feet
UA 2019-02,University Event materials,3.00 Sheets
UA 2019-02,University Event materials,3.00 Sheets
UA 1999-21,University Faculty Minutes,3.00 Linear feet
UA 2018-22,University of Idaho 4-H Club Records,7.00 Cubic_feet
UA 2018-35,University of Idaho 4-H Club Records,1.00 Folder
UA 2018-42,University of Idaho 4-H Club Records,5.00 Folder
UA 2018-43,University of Idaho 4-H Club records,4.00 Cubic_feet
UA 2018-38,University of Idaho Alumni Banquet Photographs,1.00 Folder
UA 2018-39,University of Idaho Anthropology Building History Class Papers,0.50 Linear_feet
UA 2007-13,University of Idaho Architectural and Engineering Services Library Blueprints,5.00 Cubic_feet
UA 2016-08,University of Idaho Army ROTC records,0.25 Linear feet
UA 2016-09,University of Idaho Army ROTC records,1.00 Cubic_feet
MA 2018-39,University of Idaho Athena Records,0.50 Linear_feet
UA 2018-27,University of Idaho Athletic Association Records,1.00 Linear_feet
MA 2018-25,University of Idaho Athletic Department Collection,2.00 Linear Feet
UA 2019-03,University of Idaho Athletic Department photographs,1.50 Cubic Feet
UA 2019-15,University of Idaho Athletics posters,Oversized
UA 2018-44,University of Idaho Centennial time capsule letters,1.00 Folder
MA 2012-10,University of Idaho China teacup and saucer,0.25 Cubic_feet
UA 2016-35,University of Idaho Collection,0.25 Cubic_feet
UA 2017-08,University of Idaho College of Law Sheldon A. Vincenti Papers,0.50 Cubic_feet
UA 2018-37,University of Idaho Commencement Papers,1.00 Folder
UA 2016-25,University of Idaho Dining Services Photographs,1.00 Folder
UA 2019-18,University of Idaho Education Day proclamation,1.00 Folder
UA 2016-28,University of Idaho Facilities Bronze Plaque,0.30 Cubic_feet
UA 2018-01,University of Idaho Handbook,1.00 Volumes
MA 2013-13,University of Idaho Housing Collection,1.00 Cubic_feet
UA 2013-02,University of Idaho Humanities Seminar Records,1.00 Cubic_feet
UA 2016-39,University of Idaho Humanities Sense of Place Collection,1.00 Cubic_feet
UA 2004-13,University of Idaho Institutional Accreditation Records,12.00 Cubic_feet
UA 2011-26,University of Idaho Library Adminstration Records,0.25 Cubic_feet
UA 2018-33,University of Idaho Library Papers,1.00 Folder
UA 2016-40,University of Idaho Library Printing Press Plates,1.00 Cubic_feet
UA 2008-08,University of Idaho Library Records,0.30 Cubic_feet
UA 2017-10,University of Idaho Library Special Collections and Archives Records,0.50 Cubic_feet
UA 2017-12,University of Idaho Lionel Hampton Jazz Festival recordings,1.00 CD
UA 2016-38,University of Idaho Media and Copy Center ,1.00 Folder
UA 2003-17,University of Idaho Media Center Records,7.00 Cubic_feet
UA 2015-35,"University of Idaho Moveable School, Demonstration Train Photograph",1.00 Folder
UA 2002-14,University of Idaho Museum Exhibit Records,0.50 Cubic_feet
MA 2001-17,University of Idaho Music Recordings,1.00 Cubic_feet
UA 1989-58,University of Idaho Photo Center Photographs,1.00 Cubic_feet
UA 2011-18,University of Idaho Photo Center slides of basement flood (University of Idaho Library?),1.00 Cubic_feet
UA 2018-28,University of Idaho Photo Services photographs,10.00 Cubic_feet
UA 2019-19,University of Idaho photograph collection,1.00 Folder
UA 2016-03,University of Idaho Photograph Services Photographs,4.00 Cubic_feet
UA 2016-32,University of Idaho Photographic Services Photographs,Oversized
MA 2011-49,University of Idaho Photographs,0.25 Cubic_feet
UA 1984-12,University of Idaho Photographs,1.50 Cubic_feet
UA 1998-11,University of Idaho Photographs,0.50 Cubic_feet
UA 2000-07,University of Idaho Photographs,0.50 Cubic_feet
UA 1991-025,University of Idaho Press Records,3.00 Cubic_feet
UA 1996-05,University of Idaho Press Records,0.50 Cubic_feet
UA 1997-02,University of Idaho Press Records,3.00 Cubic_feet
UA 2007-25,University of Idaho Press Records,6.00 Cubic_feet
UA 1999-01,University of Idaho Printing and Design Photographs,0.24 Linear feet
UA 1997-01,University of Idaho Recordings,1.00 Linear feet
MA 1989-07,University of Idaho Retirees Association Records,1.00 Cubic_feet
MA 1996-32,University of Idaho Retirees Association Records,2.00 Cubic_feet
MA 2018-73,University of Idaho Retirees Association records,1.00 Cubic_feet
UA 2012-22,University of Idaho Staff Newsletter,28.00 Volumes
MA 2018-20,University of Idaho Theatre Arts Department Records,5.00 Cubic Feet
UA 2018-41,University of Idaho video recordings,0.50 Cubic_feet
MA 2008-09,"University of Wyoming, American Heritage Center Wilbur Topham Collection",0.00 null
MA 1984-35,University Photographs,5.00 Cubic_feet
UA 1985-018,University Press Service News Releases,0.50 Cubic_feet
UA 1993-18,University Publications Photographs,0.50 Cubic_feet
UA 2003-03,University Research Office Papers,2.00 Cubic_feet
UA 2003-04,University Research Office Papers,1.00 Cubic_feet
UA 1995-32,University Research Office Records,6.50 Cubic_feet
UA 1996-10,University Research Office Records,3.00 Cubic_feet
UA 1997-03,University Research Office Records,1.00 Cubic_feet
UA 2002-03,University Research Office Records,2.00 Cubic_feet
UA 2002-05,University Research Office Records,2.00 Cubic_feet
UA 2003-01,University Research Office Records,3.00 Cubic_feet
UA 2003-07,University Research Office Records,3.00 Cubic_feet
UA 2005-02,University Research Office Records,2.00 Cubic_feet
UA 2007-03,University Research Office Records,3.00 Cubic_feet
UA 2008-02,University Research Office Records,1.00 Cubic_feet
UA 2014-11,University Research Office Records,1.00 Folder
UA 2004-02,University Research Office Records and Videos,1.00 Cubic_feet
UA 1999-28,University Research Office Seed Grant Proposals,2.00 Cubic_feet
UA 1999-09,University Research Office Stillinger Project Files,1.00 Cubic_feet
UA 1999-08,University Research Office Travel Grant files,2.00 Cubic_feet
UA 2002-26,"University Research Office, Clarkia/Wilderness Research Center Records",1.00 Cubic_feet
UA 2007-16,University Residences Records,1.00 Cubic_feet
UA 2008-01,University Residences Records,0.30 Cubic_feet
UA 2007-19,University Residences Roger Oettli Files,9.00 Cubic_feet
UA 2017-15,University Support Services Records,27.00 Cubic_feet
UA 2017-34,University Support Services Records,7.00 Cubic_feet
MA 2014-03,Universtiy of Idaho football Photograph,0.00 null
MA 2011-37,Unknown Ore Samples and Souvenirs,0.50 Cubic_feet
MA 2012-32,Unknown Oversize Image Collection,3.00 Cubic_feet
MA 2018-59,Unknown Photograph,1.00 Folder
UA 2003-08,Upham Residence Hall Records,1.00 Cubic_feet
MA 1994-22,US Geological Survey Topographic Maps,1.00 Linear feet
MA 2006-17,USDA Natural Resources Conservation Service Soil Surveys,1.50 Cubic_feet
MA 2012-05,USDA-NRCS/Brian Gardner North Idaho Aerial Photos,4.00 Cubic_feet
MA 2003-09,USDA. Twin Falls Field Station Annual Reports,3.00 Cubic_feet
MA 2015-19,USDAFS St. Maries Ranger Station Aerial Collection,1.00 Linear feet
MA 2015-14,USGS Copper Map Plates,0.00 null
MA 2017-38,USGS Topographical Maps of Idaho,Oversized
MA 1989-17,Utah Power and Light Photographs,0.50 Cubic_feet
UA 1990-22,Vandal Boosters Recordings,11.00 Cubic_feet
UA 2019-22,Vandal Costume collection,6.00 Cubic_feet
UA 2019-11,Vandal Traditions collection,0.00 null
MA 2011-22,Various donors photographs,0.25 Cubic_feet
MA 2019-50,Vera Baumgartner collection,1.00 Folder
UA 2016-10,Vera Bryant Werner Scrapbook,1.00 Linear feet
UA 1990-52,Veterans Club Records,1.00 Cubic_feet
UA 1996-08,Vice President for Student Affairs Records,1.00 Cubic_feet
UA 1990-19,Vice President of Academic Affairs Records,5.00 Cubic_feet
MA 2017-35,Victoria E. Mitchell and Jon Gustafson Collection on Science Fiction,312.00 Cubic_feet
MA 2017-36,Victoria E. Mitchell and Jon Gustafson Collection on Science Fiction,25.00 Cubic_feet
MA 2018-06,Victoria E. Mitchell and Jon Gustafson Collection on Science Fiction,1.00 Cubic_feet
MA 2018-08,Victoria E. Mitchell and Jon Gustafson Collection on Science Fiction,2.00 Cubic_feet
MA 2002-33,Virginia Meyer Collection,0.50 Cubic_feet
MA 2014-04,Virginia Wicks Papers,2.00 Cubic_feet
MA 2016-26,Virginia Wicks Papers,3.00 Cubic_feet
MA 2016-31,Virginia Wicks Papers,4.00 Cubic_feet
MA 2016-52,Virginia Wicks Papers,4.00 Cubic_feet
UA 2007-02,Vision and Resource Task Force Collection,1.00 Cubic_feet
MA 1996-43,Voitto Luukkonen Papers,0.50 Cubic_feet
MA 2011-03,Wallace Family Records,0.75 Cubic_feet
MA 1984-26,Wallace Photographs,0.50 Cubic_feet
UA 2008-13,"Walter L. Moden, Jr. Photographs",1.00 Cubic_feet
MA 2001-07,Walter Scott Scrapbook,1.00 Volumes
MA 2013-09,Warren H. Bolles Collection,1.00 Cubic_feet
MA 2008-11,Warren Pope Papers,8.00 Cubic_feet
MA 1989-55,Washington National Guard Aerial Photographs,0.50 Cubic_feet
MA 2001-05,"Washington, Idaho & Montana Railway Records",2.00 Cubic_feet
MA 1999-15,Water Distribution Reports,3.00 Cubic_feet
UA 2007-24,Water Resources Newspaper Clippings,2.00 Cubic_feet
MA 1994-25,Weldon Schimke Papers,0.50 Cubic_feet
MA 1994-28,Weldon Schimke Papers,124.00 Cubic_feet
MA 1995-25,Weldon Schimke Papers,2.50 Cubic_feet
MA 2008-25,Werner J. Ripplinger Papers,0.30 Cubic_feet
MA 2006-15,Werner Ripplinger Papers,1.00 Folder
MA 1995-45,Western Cooperation Spray Project Records,1.50 Cubic_feet
UA 1997-04B,Wilderness Research Center Records,2.00 Cubic_feet
UA 1997-08,Wilderness Research Center Records - Publications,1.00 Cubic_feet
UA 1998-14,Wildlife Resources Department Records,7.00 Cubic_feet
MA 2014-10,William (Bill) McLaughlin Papers,0.50 Cubic_feet
MA 1999-10,William A. Olson Records,1.00 Cubic_feet
MA 1991-63,William B. Hall Papers,0.50 Cubic_feet
MA 2001-18,William Edgar Borah Recordings,1.00 Cubic_feet
MA 2019-31,William F. Johnston papers,4.00 Cubic_feet
MA 2012-15,William H. Clagett Collection,3.00 Cubic_feet
MA 2009-14,William N. Woodall Srapbook,0.50 Cubic_feet
MA 2018-35,William (Bill) McLaughlin Papers,3.00 Cubic_feet
MA 1996-25,Winifred (Powers) Dixon Scrapbook,1.00 Cubic_feet
MA 2000-10,Winifred Dixon Scrapbook,1.00 Volumes
MA 2007-23,Winifred Powers Dixon Papers,1.00 Folder
MA 2000-15,Women in Natural Resources Records,7.00 Cubic_feet
UA 1999-07,Women's Center Records,7.50 Cubic_feet
UA 2017-24,Women's Center Records,4.00 Cubic_feet
UA 2017-25,Women's Center Records,3.00 Cubic_feet
UA 2018-30,Women's Center Records,3.00 Cubic_feet
MA 2014-28,WSU Press Encounters with the people,1.00 Cubic_feet
UA 2017-33,"WWAMI (WAMI) Scrapbook, 1972-1975",1.00 Linear feet
UA 1993-20,WWAMI Records,16.00 Cubic_feet
UA 2018-06,WWAMI Scrapbooks,6.00 Cubic_feet
UA 2017-37,"WWAMI Scrapbooks, 1975-1982",2.00 Cubic_feet
MA 2002-16,Wylie A. Lauder Ledgers,3.00 Cubic_feet
