accession_number,title,extent
MA 2011-25,"City of Lewiston Collection,",14.00 Cubic_feet
UA 2008-05,"City of Moscow, Idaho UI Lionel Hampton International Jazz Festival Proclamation",1.00 Folder
UA 1989-19,Civil Engineering Records,0.50 Cubic_feet
MA 2011-44,"Civilian Conservation Corps (CCC) Camp Peone at Worley, Idaho Photograph",1.00 Folder
MA 2015-33,Civilian Conservation Corps Records,1.00 Folder
UA 2017-39,Clara Bleak Scrapbooks,0.50 Linear feet
MA 2018-45,Clarence Favre Scrapbook,1.00 Linear_feet
MA 1997-14,Clarence Seely Papers,4.00 Cubic_feet
MA 2015-36,CLASS Development Office Records,0.50 Cubic_feet
UA 2018-11,CLASS Development Office Records,1.00 Cubic_feet
MA 1984-39,Claude Simpson Papers,2.00 Cubic_feet
MA 1985-44,Claude Simpson Papers,0.50 Cubic_feet
MA 1986-12,Claude Simpson Papers,0.50 Cubic_feet
MA 1999-23,Clay Verne Spear Papers,23.00 Cubic_feet
UA 2009-08,College Agriculture and Life Sciences Nez Perce County Extension Office Records,1.50 Cubic_feet
UA 2017-38,College of Agricultural and Life Sciences (CALS) and Extension Publications,3.00 Cubic_feet
UA 2008-04,College of Agricultural and Life Sciences Records,1.00 Cubic_feet
UA 2017-28,College of Agriculture and Life Sciences Records,158.00 Gigabytes
UA 2018-18,College of Agriculture and Life Sciences Records,4.00 Cubic Feet
UA 1989-57,College of Agriculture Photographs,0.50 Cubic_feet
MA 2004-08,College of Education Foxfire Project,1.00 Cubic_feet
UA 2016-31,College of Education Photographs,1.00 Folder
UA 2004-14,College of Education Records,1.00 Cubic_feet
UA 2009-03,College of Education Records,0.50 Cubic_feet
UA 2009-17,College of Education Records,0.50 Cubic_feet
UA 2011-08,College of Education Records,5.00 Cubic_feet
UA 2015-10,College of Education Records,2.00 Cubic_feet
UA 2015-11,College of Education Records,3.00 Cubic_feet
UA 2016-13,College of Education Renovation Materials,1.00 Folder
UA 2018-32,College of Engineering Advisory Board Papers,1.00 Folder
UA 1990-49,College of Engineering Records,0.50 Cubic_feet
UA 1997-20,College of Engineering Records,0.50 Cubic_feet
UA 2016-27,College of Engineering Records,1.00 Folder
UA 1989-51,"College of Engineering,",0.50 Cubic_feet
UA 1994-02,College of Forestry Experimental Forest maps,2.00 Linear feet
UA 1992-12,College of Forestry Honorary Degrees,0.50 Cubic_feet
UA 1996-03,College of Forestry Papers,1.50 Cubic_feet
UA 1997-19,College of Forestry Photographs,0.50 Cubic_feet
UA 1985-13,College of Forestry Records,0.50 Cubic_feet
UA 1988-05,College of Forestry Records,0.50 Cubic_feet
UA 1988-07,College of Forestry Records,4.00 Cubic_feet
UA 1988-13,College of Forestry Records,1.00 Cubic_feet
UA 1989-02,College of Forestry Records,6.50 Cubic_feet
UA 1989-29,College of Forestry Records,1.00 Cubic_feet
UA 1990-33,College of Forestry Records,1.00 Cubic_feet
UA 1990-38,College of Forestry Records,1.00 Cubic_feet
UA 1991-005,College of Forestry Records,0.50 Cubic_feet
