objectid,image_thumb,fellowship,award-amount,full-name,firstname,lastname,status,department,year,project,site,description,project_image,professional,oedcourse,oeddiscipline,oedcollege,students_impacted,students_savings,years-active,oedimpacttags,estimated-cost-savings-over-time
scofield,https://cdil.lib.uidaho.edu//objects/scofield.jpg,CDIL Digital Scholarship Fellowship,$0,Rebecca Scofield,Rebecca,Scofield,Faculty,History,2018,Voices of Gay Rodeo,https://www.voicesofgayrodeo.com/,Ongoing oral history project featuring conversations with members of the International Gay Rodeo Association (IGRA),https://cdil.lib.uidaho.edu/objects/small/voices_sm.jpg,https://verso.uidaho.edu/esploro/profile/rebecca_scofield,,,,,,,,
turpin_1,https://cdil.lib.uidaho.edu//objects/turpin.jpg,CDIL Digital Scholarship Fellowship,$0,Zachary Turpin,Zachary,Turpin,Faculty,English,2018,Lost Lit Lab,https://cdil.lib.uidaho.edu/projects/lostlitlab.html,Searching out lost literature via early digital media and programmatic searching techniques,https://cdil.lib.uidaho.edu/objects/small/lostlitlab_sm.jpg,https://verso.uidaho.edu/esploro/profile/zachary_turpin,,,,,,,,
sowards_2,https://cdil.lib.uidaho.edu//objects/sowards.jpg,CDIL Faculty Development Fellowship,"$1,500",Adam Sowards,Adam,Sowards,Faculty,History,2018,Initial Develpment for Idaho Wilderness Hearings work,https://cdil.lib.uidaho.edu/wilderness-hearings/,,,https://adamsowards.net/,,,,,,,,
nelson,https://cdil.lib.uidaho.edu//objects/nelson.jpg,CDIL Faculty Development Fellowship,"$1,500",Sarah Nelson,Sarah,Nelson,Faculty,Modern Languages & Cultures,2018,Palouse Digital Scholarship Symposium,https://github.com/PalouseDH/symposium/blob/master/2018/README.md,In past years CDIL has co-hosted a week-long Palouse Digital Scholarship Symposium with Washington State University's Center for Digital Scholarship and Curation (CDSC). This program is currently on hiatus.,https://cdil.lib.uidaho.edu/objects/small/palousedh_sm.jpg,https://verso.uidaho.edu/esploro/profile/sarah_nelson,,,,,,,,
renae_campbell,https://cdil.lib.uidaho.edu//objects/campbell.jpg,CDIL Graduate Fellowship,"$3,200",Renae Campbell,Renae,Campbell,Graduate,"Culture, Society and Justice",2018,Historical Japanese Comparative Ceramics Collection (HJCCC),https://cdil.lib.uidaho.edu/projects/hjccc.html,Digital collection that identifies and describes Japanese ceramics manufactured during the Meiji and Taisho eras,https://cdil.lib.uidaho.edu/objects/small/hjccc_sm.jpg,https://verso.uidaho.edu/esploro/profile/renae_campbell,,,,,,,,
rodriguez,https://cdil.lib.uidaho.edu//objects/rodriguez.jpg,CDIL Undergraduate Fellowship,"$2,500",Denessy Rodriguez,Denessy,Rodriguez,Undergraduate,"Culture, Society and Justice",2018,Closure of Syringa,www.arcgis.com/apps/Cascade/index.html?appid=cd897eb9ea4c4544af3e1972ec924745,"2018 CDIL Undergraduate fellow Denessy Rodriguez ('19 Sociology & Anthropology) spent her fellowship developing a visual essay entitled ""Closure of Syringa."" This StoryMap powered essay details the closing of the Syringa Mobile Home park against a backdrop of national trends and data.",https://cdil.lib.uidaho.edu/objects/small/closure_sm.jpg,,,,,,,,,
allen,,ThinkOpen Fellowship,"$1,200",Peter Allen,Peter,Allen,Faculty,Chemistry,2018,CHEM 253 Quantitative Analysis,,Adapting an open textbook and OER for CHEM 253.,,,CHEM 253 Quantitative Analysis,Chemistry,Science,80,"$8,000.00",3,,"$17,542.41"
boysen_taylor_3,https://www.uidaho.edu/-/media/uidaho-responsive/images/coe/facultyandstaff/cifaculty/boysen-taylor_rebekka-boysen_918x918.jpg?h=660&la=en&w=660&rev=c1fd5b8264e14ec59d65406bd1347410,ThinkOpen Fellowship,"$1,200",Rebekkah Boysen-Taylor,Rebekkah,Boysen-Taylor,Faculty,Curriculum and Instruction,2018,EDCI 328 Idaho Histories,,An ebook written by Boysen-Taylor and Marco Seiferle-Valencia that uses primary archival objects and documents to help tell stories of the Hidden Histories of Idaho. Used in EHHS and locally at Palouse Prairie.,,https://verso.uidaho.edu/esploro/profile/rebekka_boysentaylor,EDCI 328,,,0,$0.00,3,,$0.00
butterfield_2,https://www.uidaho.edu/-/media/UIdaho-Responsive/Images/class/departments/lhsom/faculty-and-staff/sean-butterfield.jpg?h=1200&la=en&w=1200&hash=3013E1345994695826C27E49D38350386708A8BE,ThinkOpen Fellowship,"$1,200",Sean Butterfield,Sean,Butterfield,Faculty,Lionel Hampton School of Music,2018,MusC 241 / 242 Music Theory,,"Customizing an previously created interactive, digital textbook to teach students music theory.",,https://verso.uidaho.edu/esploro/profile/sean_butterfield,MusC 241 / 242 Music Theory,Music,"Letters, Arts and Social Sciences",25,"$7,750.00",3,,"$16,994.21"
miller,https://www.lib.uidaho.edu/media/carousel/ross_notext2.jpg,ThinkOpen Fellowship,"$1,200",Ross Miller,Ross,Miller,Graduate,Physics,2018,PHYS 111 General Physics I,,Using Open Stax Physics textbooks for PHYS111,,,PHYS 111 General Physics I,Physics,Science,140,"$39,200.00",3,,"$85,957.80"
ptak,https://vivo.nkn.uidaho.edu/vivo/file/n328454/Tom-Ptak.jpg,ThinkOpen Fellowship,"$1,200",Thomas Ptak,Thomas,Ptak,Faculty,Geography,2018,GEOG 165 Introduction to Human Geography,,Using open course ware for GEOG 165.,,,GEOG 165 Introduction to Human Geography,Geography,Science,40,"$3,000.00",3,,"$6,578.40"
wilson_2,https://cdil.lib.uidaho.edu//objects/miranda-wilson.jpg,ThinkOpen Fellowship,"$1,200",Miranda Wilson,Miranda,Wilson,Faculty,Lionel Hampton School of Music,2018,MusC 239/240 Aural Skills,,Creating a custom music theory textbook.,,https://verso.uidaho.edu/esploro/profile/miranda_wilson,MusC 239/240 Aural Skills,Music,"Letters, Arts and Social Sciences",20,"$2,600.00",3,,"$5,701.28"
xu,,ThinkOpen Fellowship,"$1,200",Shenghan Xu,Shenghan,Xu,Faculty,Business and Economics,2018,OM 370/470 Process Management / Supply Chain Management,,Using OER and open textbooks for OM 370.,,https://verso.uidaho.edu/esploro/profile/shenghan_xu,OM 370/470 Process Management / Supply Chain Management,Operations Management,Business and Economics,40,"$10,600.00",3,,"$23,243.69"
gibbs,,Berry International Jazz Collections Fellowship,"$4,000",Mitchell Gibbs,Mitchell,Gibbs,Undergraduate,Lionel Hampton School of Music,2019,Leonard Feather Blindfold Tests,https://www.lib.uidaho.edu/digital/blindfold/,A digital collection of transcribed interviews between Leonard Feather and renown jazz artists.,https://cdil.lib.uidaho.edu/objects/small/blindfold_sm.jpg,,,,,,,,,
eichner,https://cdil.lib.uidaho.edu//objects/eichner.jpg,CDIL Digital Scholarship Fellowship,$0,Katrina Eichner,Katrina,Eichner,Faculty,"Culture, Society and Justice",2019,Idaho Public Archaeology,https://cdil.lib.uidaho.edu/projects/ipa.html,"Web and data-based exploration of public archaeology data from a Moscow, Idaho archaeological dig at Moscow High School.",https://cdil.lib.uidaho.edu/objects/small/ipa_sm.jpg,https://verso.uidaho.edu/esploro/profile/katrina_eichner/overview,,,,,,,,
eichner,https://cdil.lib.uidaho.edu//objects/eichner.jpg,CDIL Faculty Development Fellowship,"$1,500",Katrina Eichner,Katrina,Eichner,Faculty,"Culture, Society and Justice",2019,Initial development for Idaho Public Archaeology project,https://palousedh.github.io/symposium/,,https://cdil.lib.uidaho.edu/objects/small/ipa_sm.jpg,https://verso.uidaho.edu/esploro/profile/katrina_eichner/overview,,,,,,,,
james,https://cdil.lib.uidaho.edu//objects/james.jpg,CDIL Faculty Development Fellowship,"$1,500",Erin James,Erin,James,Faculty,English,2019,Palouse Digital Scholarship Symposium,https://palousedh.github.io/symposium/,In past years CDIL has co-hosted a week-long Palouse Digital Scholarship Symposium with Washington State University's Center for Digital Scholarship and Curation (CDSC). This program is currently on hiatus.,https://cdil.lib.uidaho.edu/objects/small/palousedh_sm.jpg,https://verso.uidaho.edu/esploro/profile/erin_james,,,,,,,,
baldridge,https://cdil.lib.uidaho.edu//objects/baldridge.jpg,CDIL Graduate Fellowship,"$3,200",Ricky Baldridge,Ricky,Baldridge,Graduate,English,2019,Palouse Digital Scholarship Symposium,https://palousedh.github.io/symposium/,In past years CDIL has co-hosted a week-long Palouse Digital Scholarship Symposium with Washington State University's Center for Digital Scholarship and Curation (CDSC). This program is currently on hiatus.,https://cdil.lib.uidaho.edu/objects/small/palousedh_sm.jpg,,,,,,,,,
stokes,https://cdil.lib.uidaho.edu//objects/stokes.jpg,CDIL Library Fellowship,"$1,500",Kit Stokes,Kit,Stokes,Graduate,English,2019,Potlatch Historical Society Collection,https://www.lib.uidaho.edu/digital/phs/,Assisted with the improvement of the Potlatch Historical Society Collection,,,,,,,,,,
robertson,https://cdil.lib.uidaho.edu//objects/robertson.jpg,CDIL Undergraduate Fellow,"$2,500",Rylee Robertson,Rylee,Robertson,Undergraduate,Business and Economics,2019,University of Idaho: Then and Now,https://www.lib.uidaho.edu/digital/campushistory/,Rephotography project documenting prominent sites from the University of Idaho Campus.,https://cdil.lib.uidaho.edu/objects/small/thennow_sm.jpg,,,,,,,,,
anthony_stevens,https://www.uidaho.edu/-/media/uidaho-responsive/images/coe/facultyandstaff/cifaculty/anthony-stevensvanessav21200x1200.jpg?h=660&la=en&w=660&rev=6432e1a873d747c1b878c2c902b9f260,ThinkOpen Fellowship,"$1,200",Vanessa Anthony-Stevens,Vanessa,Anthony-Stevens,Faculty,Curriculum & Instruction,2019,EDCI 302 EDCI 328,,"Dr. Anthony-Stevens will develop a resource tentatively title Honoring Indigenous Histories: A Reader for Teachers. This resource will offer an overview of Indigenous Histories in the US, foundations of tribal sovereignty and constructive advice on ways for teachers to respect and engage with Indigenous communities in their praxis. This title will place a special focus on Indigenous communities of the Greater Pacific Northwest.",,https://verso.uidaho.edu/esploro/profile/vanessa_anthonystevens,EDCI 302 EDCI 328,Education,"Education, Health and Human Sciences",100,"$10,000.00",3,U of I; Regional; National,"$21,928.01"
blevins,https://www.lib.uidaho.edu/media/verso/profile-pics/blevins_katie.jpg,ThinkOpen Fellowship,"$1,200",Katie Blevins,Katie,Blevins,Faculty,Journalism & Mass Media,2019,JAMM 458: Public Relations Research and Case Studies,,"Dr. Blevins will identify and create OER to support JAMM458, a Public Relations research-based course. Her efforts will focus on adapting existing open materials, as well as identifying openly licensed studies, and alternatives to costly traditional case studies.",,https://verso.uidaho.edu/esploro/profile/katie_blevins,JAMM 458: Public Relations Research and Case Studies,Journalism and Mass Media,"Letters, Arts and Social Sciences",115,"$11,500.00",3,U of I; National,"$25,217.21"
