CourseNumber,Department,CourseSection,CourseName,Instructor,Note,URL
ECON343,Economics,1,Money and Banking,"Peterson, Steven S.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,econ343&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ECON351,Economics,1,Intermediate Macroeconomic Analysis,"Peterson, Steven S.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,econ351&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ECON352,Economics,1,Intermediate Microeconomic Analysis,"Ramirez, Stefanie",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,econ352&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ED668,Education,1,Writing for Publication,"Freeman, Sydney",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,ed668&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ENGL101,English,90-99,Introduction to College Writing,"Kirchmeier, Barbara Ann",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,engl101&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ENGL102,English,All,College Writing and Rhetoric,"Kirchmeier, Barbara Ann",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,engl102&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ENGL175,English,75,Introduction to Literary Genres,"Schab, Aaron Christopher",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,engl175&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ENGL222,English,All,History of Film 1945-Present,"James, Benjamin",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,engl222&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ENGL462,English,,Contemporary Rural American Literature,"Ladino, Jennifer K.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,engl462&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ENGL504,English,1,ST: Film Theory & Criticism,Multiple,,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,engl504&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ENGR240,Engineering-General,2,Introduction to Electrical Circuits,"Hefeida, Mohamed",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,engr240&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
ENGR335,Engineering-General,1,Engineering Fluid Mechanics,"Admassu, Wudneh",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,engr335&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
